June 26, 2017 20:23:04:580000		LiftLandTableRepeat
June 26, 2017 20:27:41:212000	127.0.0.1-9557	left value Y
June 26, 2017 20:27:41:213000	127.0.0.1-9557	150
June 26, 2017 20:27:41:351000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 26, 2017 20:27:43:529000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
June 26, 2017 20:27:43:531000	127.0.0.1-9559	[60, 179]
June 26, 2017 20:27:43:533000	127.0.0.1-9559	[(56, 172), (80, 104), (95, 135), (60, 179), [640, 480]]
June 26, 2017 20:27:47:117000	127.0.0.1-9559	Four extreme points are: 
June 26, 2017 20:27:47:119000	127.0.0.1-9559	0
June 26, 2017 20:27:47:122000	127.0.0.1-9559	638
June 26, 2017 20:27:47:123000	127.0.0.1-9559	0
June 26, 2017 20:27:47:133000	127.0.0.1-9559	319
June 26, 2017 20:27:47:147000	127.0.0.1-9559	Keep walking until very close to table
June 26, 2017 20:27:51:034000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:27:51:035000	127.0.0.1-9557	104
June 26, 2017 20:27:51:036000	127.0.0.1-9557	638
