June 06, 2017 21:39:21:466000		MOVE  NAO
June 06, 2017 21:44:30:314000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable is LEFT
June 06, 2017 21:44:59:370000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:44:59:373000	127.0.0.1-9557	[404, 399]
June 06, 2017 21:44:59:378000	127.0.0.1-9557	[(187, 369), (379, 299), (535, 301), (404, 399), [640, 480]]
June 06, 2017 21:44:59:609000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:45:00:987000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:45:00:995000	127.0.0.1-9557	[196, 443]
June 06, 2017 21:45:00:997000	127.0.0.1-9557	[(196, 440), (199, 439), (203, 443), (196, 443), [640, 480]]
June 06, 2017 21:45:04:945000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:45:06:302000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:45:06:311000	127.0.0.1-9557	[160, 263]
June 06, 2017 21:45:06:318000	127.0.0.1-9557	[(156, 256), (156, 256), (163, 263), (160, 263), [640, 480]]
June 06, 2017 21:45:10:117000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:45:11:743000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:45:11:745000	127.0.0.1-9557	[208, 419]
June 06, 2017 21:45:11:751000	127.0.0.1-9557	[(208, 416), (208, 416), (219, 419), (208, 419), [640, 480]]
June 06, 2017 21:45:15:830000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:45:17:290000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:45:17:293000	127.0.0.1-9557	[260, 443]
June 06, 2017 21:45:17:297000	127.0.0.1-9557	[(260, 436), (266, 435), (271, 439), (260, 443), [640, 480]]
June 06, 2017 21:45:21:860000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:45:23:230000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:45:23:233000	127.0.0.1-9557	[240, 259]
June 06, 2017 21:45:23:235000	127.0.0.1-9557	[(236, 252), (236, 252), (243, 259), (240, 259), [640, 480]]
June 06, 2017 21:45:26:730000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:45:28:473000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:45:28:491000	127.0.0.1-9557	[322, 412]
June 06, 2017 21:45:28:505000	127.0.0.1-9557	[(308, 408), (322, 407), (327, 411), (322, 412), [640, 480]]
June 06, 2017 21:45:32:475000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:45:33:880000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:45:33:883000	127.0.0.1-9557	[356, 435]
June 06, 2017 21:45:33:886000	127.0.0.1-9557	[(356, 432), (356, 432), (367, 435), (356, 435), [640, 480]]
June 06, 2017 21:45:37:479000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:45:37:487000	127.0.0.1-9557	[612, 415]
June 06, 2017 21:45:37:492000	127.0.0.1-9557	[(359, 355), (547, 303), (638, 307), (612, 415), [640, 480]]
June 06, 2017 21:45:37:574000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable is LEFT
June 06, 2017 21:46:06:650000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:46:06:653000	127.0.0.1-9557	[636, 419]
June 06, 2017 21:46:06:657000	127.0.0.1-9557	[(399, 357), (636, 296), (638, 419), (636, 419), [640, 480]]
June 06, 2017 21:46:06:781000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:46:08:371000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:46:08:373000	127.0.0.1-9557	[428, 439]
June 06, 2017 21:46:08:376000	127.0.0.1-9557	[(428, 436), (440, 428), (443, 431), (428, 439), [640, 480]]
June 06, 2017 21:46:12:416000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:46:13:791000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:46:13:794000	127.0.0.1-9557	[312, 423]
June 06, 2017 21:46:13:809000	127.0.0.1-9557	[(312, 420), (312, 420), (327, 423), (312, 423), [640, 480]]
June 06, 2017 21:46:17:140000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:46:18:649000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:46:18:669000	127.0.0.1-9557	[368, 431]
June 06, 2017 21:46:18:672000	127.0.0.1-9557	[(368, 428), (368, 428), (375, 431), (368, 431), [640, 480]]
June 06, 2017 21:46:22:712000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:46:22:715000	127.0.0.1-9557	[576, 431]
June 06, 2017 21:46:22:718000	127.0.0.1-9557	[(331, 363), (551, 307), (638, 408), (576, 431), [640, 480]]
June 06, 2017 21:46:23:305000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable is LEFT
June 06, 2017 21:46:51:605000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:46:51:608000	127.0.0.1-9557	[516, 419]
June 06, 2017 21:46:51:611000	127.0.0.1-9557	[(299, 353), (535, 303), (638, 375), (516, 419), [640, 480]]
June 06, 2017 21:46:51:713000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:46:53:167000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:46:53:170000	127.0.0.1-9557	[324, 443]
June 06, 2017 21:46:53:173000	127.0.0.1-9557	[(324, 436), (327, 435), (339, 439), (324, 443), [640, 480]]
June 06, 2017 21:46:56:723000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:46:58:122000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:46:58:126000	127.0.0.1-9557	[320, 439]
June 06, 2017 21:46:58:139000	127.0.0.1-9557	[(320, 436), (320, 436), (335, 439), (320, 439), [640, 480]]
June 06, 2017 21:47:01:775000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:47:01:787000	127.0.0.1-9557	[520, 427]
June 06, 2017 21:47:01:790000	127.0.0.1-9557	[(291, 363), (523, 307), (638, 352), (520, 427), [640, 480]]
June 06, 2017 21:47:03:104000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable is LEFT
June 06, 2017 21:47:31:605000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:47:31:623000	127.0.0.1-9557	[440, 443]
June 06, 2017 21:47:31:632000	127.0.0.1-9557	[(239, 369), (523, 303), (638, 311), (440, 443), [640, 480]]
June 06, 2017 21:47:31:897000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:47:33:302000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:47:33:304000	127.0.0.1-9557	[284, 451]
June 06, 2017 21:47:33:307000	127.0.0.1-9557	[(283, 446), (284, 444), (303, 447), (284, 451), [640, 480]]
June 06, 2017 21:47:36:941000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:47:38:289000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:47:38:292000	127.0.0.1-9557	[284, 451]
June 06, 2017 21:47:38:295000	127.0.0.1-9557	[(284, 444), (290, 443), (301, 449), (284, 451), [640, 480]]
June 06, 2017 21:47:42:207000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:47:42:226000	127.0.0.1-9557	[432, 447]
June 06, 2017 21:47:42:238000	127.0.0.1-9557	[(231, 370), (503, 311), (638, 371), (432, 447), [640, 480]]
June 06, 2017 21:47:43:606000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable is LEFT
June 06, 2017 21:48:11:951000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:48:11:956000	127.0.0.1-9557	[192, 463]
June 06, 2017 21:48:11:962000	127.0.0.1-9557	[(39, 379), (379, 303), (551, 327), (192, 463), [640, 480]]
June 06, 2017 21:48:12:137000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:48:13:593000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:48:13:604000	127.0.0.1-9557	[140, 463]
June 06, 2017 21:48:13:608000	127.0.0.1-9557	[(140, 460), (140, 460), (159, 463), (140, 463), [640, 480]]
June 06, 2017 21:48:17:866000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:48:19:234000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:48:19:241000	127.0.0.1-9557	[180, 459]
June 06, 2017 21:48:19:247000	127.0.0.1-9557	[(180, 456), (191, 455), (199, 459), (180, 459), [640, 480]]
June 06, 2017 21:48:22:954000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:48:24:538000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:48:24:541000	127.0.0.1-9557	[180, 463]
June 06, 2017 21:48:24:545000	127.0.0.1-9557	[(180, 456), (180, 456), (199, 459), (180, 463), [640, 480]]
June 06, 2017 21:48:28:092000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:48:29:420000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:48:29:423000	127.0.0.1-9557	[168, 459]
June 06, 2017 21:48:29:431000	127.0.0.1-9557	[(168, 452), (168, 452), (187, 455), (168, 459), [640, 480]]
June 06, 2017 21:48:33:516000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:48:34:884000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:48:34:887000	127.0.0.1-9557	[220, 455]
June 06, 2017 21:48:34:896000	127.0.0.1-9557	[(220, 448), (220, 448), (239, 455), (220, 455), [640, 480]]
June 06, 2017 21:48:39:062000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:48:40:437000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:48:40:440000	127.0.0.1-9557	[268, 455]
June 06, 2017 21:48:40:445000	127.0.0.1-9557	[(268, 452), (268, 452), (287, 455), (268, 455), [640, 480]]
June 06, 2017 21:48:43:966000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:48:45:424000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:48:45:430000	127.0.0.1-9557	[236, 423]
