April 23, 2017 19:17:32:685000		MOVE  NAO
April 23, 2017 19:19:57:161000	127.0.0.1-9557	[620, 447]
April 23, 2017 19:19:57:164000	127.0.0.1-9557	[(604, 428), (604, 428), (627, 443), (620, 447), [640, 480]]
April 23, 2017 19:20:04:809000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:20:04:812000	127.0.0.1-9557	[447, 478]
April 23, 2017 19:20:04:814000	127.0.0.1-9557	[(436, 442), (580, 420), (638, 427), (447, 478), [640, 480]]
April 23, 2017 19:20:06:153000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:20:06:156000	127.0.0.1-9557	[447, 478]
April 23, 2017 19:20:06:159000	127.0.0.1-9557	[(287, 255), (288, 254), (638, 427), (447, 478), [640, 480]]
April 23, 2017 19:20:08:518000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:20:08:523000	127.0.0.1-9559	[208, 203]
April 23, 2017 19:20:08:526000	127.0.0.1-9559	[(91, 159), (307, 127), (435, 143), (208, 203), [640, 480]]
April 23, 2017 19:20:08:550000	127.0.0.1-9559	AlignClosestCornerToMiddle
April 23, 2017 19:20:09:796000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:20:09:798000	127.0.0.1-9559	[224, 207]
April 23, 2017 19:20:09:800000	127.0.0.1-9559	[(108, 160), (327, 131), (443, 147), (224, 207), [640, 480]]
April 23, 2017 19:20:13:401000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:20:13:403000	127.0.0.1-9557	[571, 428]
April 23, 2017 19:20:13:405000	127.0.0.1-9557	[(569, 426), (627, 407), (638, 415), (571, 428), [640, 480]]
April 23, 2017 19:20:14:698000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:20:14:702000	127.0.0.1-9557	[460, 478]
April 23, 2017 19:20:14:705000	127.0.0.1-9557	[(286, 256), (286, 256), (638, 424), (460, 478), [640, 480]]
April 23, 2017 19:20:17:614000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:20:17:617000	127.0.0.1-9559	[268, 207]
April 23, 2017 19:20:17:619000	127.0.0.1-9559	[(155, 165), (357, 135), (487, 151), (268, 207), [640, 480]]
April 23, 2017 19:20:18:957000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:20:18:960000	127.0.0.1-9559	[268, 207]
April 23, 2017 19:20:18:963000	127.0.0.1-9559	[(155, 163), (359, 135), (487, 151), (268, 207), [640, 480]]
April 23, 2017 19:20:21:770000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:20:21:772000	127.0.0.1-9557	[438, 464]
April 23, 2017 19:20:21:776000	127.0.0.1-9557	[(424, 448), (604, 416), (638, 423), (438, 464), [640, 480]]
April 23, 2017 19:20:23:127000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:20:23:129000	127.0.0.1-9557	[443, 478]
April 23, 2017 19:20:23:138000	127.0.0.1-9557	[(428, 446), (608, 412), (638, 423), (443, 478), [640, 480]]
April 23, 2017 19:20:27:231000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:20:27:241000	127.0.0.1-9559	[284, 207]
April 23, 2017 19:20:27:248000	127.0.0.1-9559	[(172, 160), (363, 135), (504, 148), (284, 207), [640, 480]]
April 23, 2017 19:20:28:771000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:20:28:773000	127.0.0.1-9559	[288, 207]
April 23, 2017 19:20:28:775000	127.0.0.1-9559	[(175, 165), (371, 135), (499, 151), (288, 207), [640, 480]]
April 23, 2017 19:20:30:491000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:20:30:493000	127.0.0.1-9557	[420, 468]
April 23, 2017 19:20:30:497000	127.0.0.1-9557	[(404, 452), (444, 444), (491, 451), (420, 468), [640, 480]]
April 23, 2017 19:20:31:746000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:20:31:754000	127.0.0.1-9557	[435, 436]
April 23, 2017 19:20:31:759000	127.0.0.1-9557	[(428, 420), (432, 408), (440, 432), (435, 436), [640, 480]]
April 23, 2017 19:20:36:390000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:20:36:392000	127.0.0.1-9559	[292, 203]
April 23, 2017 19:20:36:394000	127.0.0.1-9559	[(179, 165), (379, 131), (507, 147), (292, 203), [640, 480]]
April 23, 2017 19:20:37:646000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:20:37:649000	127.0.0.1-9559	[300, 207]
April 23, 2017 19:20:37:652000	127.0.0.1-9559	[(184, 160), (375, 135), (515, 151), (300, 207), [640, 480]]
April 23, 2017 19:20:37:718000	127.0.0.1-9559	bottommost point: 203
April 23, 2017 19:20:37:722000	127.0.0.1-9559	turn angle:  0.315
April 23, 2017 19:20:37:749000	127.0.0.1-9559	bottom most position:  
April 23, 2017 19:20:37:751000	127.0.0.1-9559	208
April 23, 2017 19:20:37:754000	127.0.0.1-9559	AlignClosestCornerToMiddle
April 23, 2017 19:20:39:028000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:20:39:030000	127.0.0.1-9557	[383, 478]
April 23, 2017 19:20:39:033000	127.0.0.1-9557	[(243, 265), (635, 207), (638, 415), (383, 478), [640, 480]]
April 23, 2017 19:20:39:045000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:20:39:048000	127.0.0.1-9559	[300, 207]
April 23, 2017 19:20:39:050000	127.0.0.1-9559	[(183, 165), (379, 135), (508, 152), (300, 207), [640, 480]]
April 23, 2017 19:20:40:565000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:20:40:567000	127.0.0.1-9557	[416, 478]
April 23, 2017 19:20:40:569000	127.0.0.1-9557	[(364, 406), (364, 406), (587, 427), (416, 478), [640, 480]]
April 23, 2017 19:20:45:508000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:20:45:513000	127.0.0.1-9557	[384, 467]
April 23, 2017 19:20:45:517000	127.0.0.1-9557	[(252, 250), (252, 250), (638, 415), (384, 467), [640, 480]]
April 23, 2017 19:20:46:942000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:20:46:946000	127.0.0.1-9557	[376, 478]
April 23, 2017 19:20:46:950000	127.0.0.1-9557	[(352, 426), (624, 412), (638, 412), (376, 478), [640, 480]]
April 23, 2017 19:20:54:249000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:20:54:252000	127.0.0.1-9557	[367, 478]
April 23, 2017 19:20:54:254000	127.0.0.1-9557	[(352, 450), (628, 396), (638, 403), (367, 478), [640, 480]]
April 23, 2017 19:20:55:564000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:20:55:566000	127.0.0.1-9557	[359, 478]
