June 01, 2017 06:15:03:112000		MOVE  NAO
June 01, 2017 06:19:53:486000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:19:53:488000	127.0.0.1-9557	0
June 01, 2017 06:19:53:490000	127.0.0.1-9557	267
June 01, 2017 06:19:53:500000	127.0.0.1-9557	0
June 01, 2017 06:19:53:512000	127.0.0.1-9557	67
June 01, 2017 06:19:53:691000	127.0.0.1-9557	mask sizes
June 01, 2017 06:19:53:694000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:19:53:720000	127.0.0.1-9557	Y values left mid right
June 01, 2017 06:19:53:724000	127.0.0.1-9557	-1
June 01, 2017 06:19:53:728000	127.0.0.1-9557	-1
June 01, 2017 06:19:53:732000	127.0.0.1-9557	-1
June 01, 2017 06:19:53:765000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 01, 2017 06:20:06:091000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:20:06:102000	127.0.0.1-9557	144
June 01, 2017 06:20:06:105000	127.0.0.1-9557	638
June 01, 2017 06:20:06:107000	127.0.0.1-9557	0
June 01, 2017 06:20:06:110000	127.0.0.1-9557	199
June 01, 2017 06:20:06:217000	127.0.0.1-9557	496
June 01, 2017 06:20:19:336000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:20:19:349000	127.0.0.1-9557	0
June 01, 2017 06:20:19:353000	127.0.0.1-9557	35
June 01, 2017 06:20:19:360000	127.0.0.1-9557	0
June 01, 2017 06:20:19:367000	127.0.0.1-9557	35
June 01, 2017 06:20:19:452000	127.0.0.1-9557	35
June 01, 2017 06:20:26:421000	127.0.0.1-9557	too much to right: 461
June 01, 2017 06:20:35:859000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 01, 2017 06:20:35:862000	127.0.0.1-9557	[172, 87]
June 01, 2017 06:20:35:865000	127.0.0.1-9557	[(108, 56), (160, 32), (183, 63), (172, 87), [640, 480]]
June 01, 2017 06:20:39:326000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:20:39:330000	127.0.0.1-9557	0
June 01, 2017 06:20:39:335000	127.0.0.1-9557	638
June 01, 2017 06:20:39:338000	127.0.0.1-9557	0
June 01, 2017 06:20:39:344000	127.0.0.1-9557	231
June 01, 2017 06:20:39:360000	127.0.0.1-9557	Keep walking until very close to table
June 01, 2017 06:20:43:579000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:20:43:593000	127.0.0.1-9557	0
June 01, 2017 06:20:43:601000	127.0.0.1-9557	638
June 01, 2017 06:20:43:608000	127.0.0.1-9557	0
June 01, 2017 06:20:43:613000	127.0.0.1-9557	231
June 01, 2017 06:20:43:640000	127.0.0.1-9557	mask sizes
June 01, 2017 06:20:43:643000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:20:43:657000	127.0.0.1-9557	left value Y
June 01, 2017 06:20:43:660000	127.0.0.1-9557	198
June 01, 2017 06:20:43:663000	127.0.0.1-9557	left value Y
June 01, 2017 06:20:43:666000	127.0.0.1-9557	190
June 01, 2017 06:20:43:669000	127.0.0.1-9557	left value Y
June 01, 2017 06:20:43:672000	127.0.0.1-9557	174
June 01, 2017 06:20:51:843000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:20:51:856000	127.0.0.1-9557	0
June 01, 2017 06:20:51:859000	127.0.0.1-9557	638
June 01, 2017 06:20:51:861000	127.0.0.1-9557	0
June 01, 2017 06:20:51:869000	127.0.0.1-9557	223
June 01, 2017 06:20:51:946000	127.0.0.1-9557	mask sizes
June 01, 2017 06:20:51:949000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:20:51:975000	127.0.0.1-9557	left value Y
June 01, 2017 06:20:51:978000	127.0.0.1-9557	190
June 01, 2017 06:20:51:989000	127.0.0.1-9557	left value Y
